"Sign","Name","Name1","Name2"
"󲄹","|MUŠEN.UR₃~b2|","|MUŠEN.UR3~b2|, |MUŠEN.UR₃~b2|","|MUŠEN.UR₃|"
"󲔆","|MUŠEN×PAP~a|","|MUŠEN×PAP~a|, |MUŠEN×PAP~a|","|MUŠEN×PAP|"
"𒤱","|NAGA~a×TAK₄~a|","|NAGA~a×TAK4~a|, |NAGA~a×TAK₄~a|","|NAGA×TAK₄|"
"󲉒","|NAGAR~a.BU~a|","|NAGAR~a.BU~a|, |NAGAR~a.BU~a|","|NAGAR.BU|"
"󲉓","|NAGAR~b.BU~a|","|NAGAR~b.BU~a|, |NAGAR~b.BU~a|","|NAGAR.BU|"
"𒤺","|NAM₂×1(N01)|","|NAM2×1(N01)|, |NAM₂×1(N01)|","|NAM₂×1(N01)|"
"󲉔","|NE~a.RU|","|NE~a.RU|, |NE~a.RU|","|NE.RU|"
"󲃢","|NE~c.GI|","|NE~c.GI|, |NE~c.GI|","|NE.GI|"
"󲉕","|NI~a.RU|","|NI~a.RU|, |NI~a.RU|","|NI.RU|"
"𒥉","|NI~b×4(N57)|","|NI~b×4(N57)|, |NI~b×4(N57)|","|NI×4(N57)|"
"𒥊","|NI~b×8(N57)|","|NI~b×8(N57)|, |NI~b×8(N57)|","|NI×8(N57)|"
"󲑜","|NI~b×X|","|NI~b×X|, |NI~b×X|","|NI×X|"
"𒥧","|NINDA₂×(1(N06).HI@g~a)|","|NINDA2×(1(N06).HI@g~a)|, |NINDA₂×(1(N06).HI@g~a)|","|NINDA₂×(1(N06).HI)|"
"𒥔","|NINDA₂×(AN.HI)|","|NINDA2×(AN.HI)|, |NINDA₂×(AN.HI)|","|NINDA₂×(AN.HI)|"
"𒥕","|NINDA₂×(AN.ME~a)|","|NINDA2×(AN.ME~a)|, |NINDA₂×(AN.ME~a)|","|NINDA₂×(AN.ME)|"
"󲑝","|NINDA₂×(AN.X)|","|NINDA2×(AN.X)|, |NINDA₂×(AN.X)|","|NINDA₂×(AN.X)|"
"𒥜","|NINDA₂×(HI.AN.ME~a)|","|NINDA2×(HI.AN.ME~a)|, |NINDA₂×(HI.AN.ME~a)|","|NINDA₂×(HI.AN.ME)|"
"𒥝","|NINDA₂×(HI.ME~a)|","|NINDA2×(HI.ME~a)|, |NINDA₂×(HI.ME~a)|","|NINDA₂×(HI.ME)|"
"󲑟","|NINDA₂×(HI.X)|","|NINDA2×(HI.X)|, |NINDA₂×(HI.X)|","|NINDA₂×(HI.X)|"
"󲑠","|NINDA₂×(U₄.X)|","|NINDA2×(U4.X)|, |NINDA₂×(U₄.X)|","|NINDA₂×(U₄.X)|"
"󲑡","|NINDA₂×(UDU~a×TAR~a)|","|NINDA2×(UDU~a×TAR~a)|, |NINDA₂×(UDU~a×TAR~a)|","|NINDA₂×(UDU×TAR)|"
"󲑢","|NINDA₂×(UDU~a×TAR~b)|","|NINDA2×(UDU~a×TAR~b)|, |NINDA₂×(UDU~a×TAR~b)|","|NINDA₂×(UDU×TAR)|"
"𒥣","|NINDA₂×(ZATU659×1(N01))|","|NINDA2×(ZATU659×1(N01))|, |NINDA₂×(ZATU659×1(N01))|","|NINDA₂×(ZATU659×1(N01))|"
"𒥥","|NINDA₂×1(N01)|","|NINDA2×1(N01)|, |NINDA₂×1(N01)|","|NINDA₂×1(N01)|"
"𒥨","|NINDA₂×1(N08)|","|NINDA2×1(N08)|, |NINDA₂×1(N08)|","|NINDA₂×1(N08)|"
"𒥦","|NINDA₂×2(N01)|","|NINDA2×2(N01)|, |NINDA₂×2(N01)|","|NINDA₂×2(N01)|"
"𒥓","|NINDA₂×AN|","|NINDA2×AN|, |NINDA₂×AN|","|NINDA₂×AN|"
"󲑞","|NINDA₂×BA|","|NINDA2×BA|, |NINDA₂×BA|","|NINDA₂×BA|"
"𒥖","|NINDA₂×EZEN~b|","|NINDA2×EZEN~b|, |NINDA₂×EZEN~b|","|NINDA₂×EZEN|"
"𒥘","|NINDA₂×GAR|","|NINDA2×GAR|, |NINDA₂×GAR|","|NINDA₂×GAR|"
"𒥗","|NINDA₂×GAʾAR~a1|","|NINDA2×GAʾAR~a1|, |NINDA₂×GAʾAR~a1|","|NINDA₂×GAʾAR|"
"𒥙","|NINDA₂×GIŠ|","|NINDA2×GIŠ|, |NINDA₂×GIŠ|","|NINDA₂×GIŠ|"
"𒥚","|NINDA₂×GU₄|","|NINDA2×GU4|, |NINDA₂×GU₄|","|NINDA₂×GU₄|"
"𒥛","|NINDA₂×HI|","|NINDA2×HI|, |NINDA₂×HI|","|NINDA₂×HI|"
"𒥞","|NINDA₂×KAŠ~b|","|NINDA2×KAŠ~b|, |NINDA₂×KAŠ~b|","|NINDA₂×KAŠ|"
"𒥟","|NINDA₂×MAR~a|","|NINDA2×MAR~a|, |NINDA₂×MAR~a|","|NINDA₂×MAR|"
"𒥠","|NINDA₂×MAR~b|","|NINDA2×MAR~b|, |NINDA₂×MAR~b|","|NINDA₂×MAR|"
"𒥡","|NINDA₂×NUN~a|","|NINDA2×NUN~a|, |NINDA₂×NUN~a|","|NINDA₂×NUN|"
"𒥢","|NINDA₂×U₄|","|NINDA2×U4|, |NINDA₂×U₄|","|NINDA₂×U₄|"
"󲑣","|NINDA₂×X|","|NINDA2×X|, |NINDA₂×X|","|NINDA₂×X|"
"𒥤","|NINDA₂×ZATU710|","|NINDA2×ZATU710|, |NINDA₂×ZATU710|","|NINDA₂×ZATU710|"
"𒥪","|NIR~a×AN|","|NIR~a×AN|, |NIR~a×AN|","|NIR×AN|"
"𒥯","|NU₁₁&NU₁₁|","|NU11&NU11|, |NU₁₁&NU₁₁|","|NU₁₁&NU₁₁|"
"󲂄","|NUN~a.ME~a.DU|","|NUN~a.ME~a.DU|, |NUN~a.ME~a.DU|","|NUN.ME.DU|"
"󲂂","|NUN~a.ME~a|","|NUN~a.ME~a|, |NUN~a.ME~a|","|NUN.ME|"
"𒥳","|NUN~a+A|","|NUN~a+A|, |NUN~a+A|","|NUN+A|"
"𒥴","|NUN~a+EN~a|","|NUN~a+EN~a|, |NUN~a+EN~a|","|NUN+EN|"
"𒥵","|NUN~a+EN~b|","|NUN~a+EN~b|, |NUN~a+EN~b|","|NUN+EN|"
"𒥶","|NUN~a+EN~d|","|NUN~a+EN~d|, |NUN~a+EN~d|","|NUN+EN|"
"𒥷","|NUN~a+NAM₂|","|NUN~a+NAM2|, |NUN~a+NAM₂|","|NUN+NAM₂|"
"𒥸𒩿","|NUN~b.U₄|","|NUN~b.U4|, |NUN~b.U₄|","|NUN.U₄|"
"𒥹","|NUN~b+EN~a|","|NUN~b+EN~a|, |NUN~b+EN~a|","|NUN+EN|"
"󲆇","|PA~a.IB~a|","|PA~a.IB~a|, |PA~a.IB~a|","|PA.IB|"
"󲅷","|PA~a.UDU~a|","|PA~a.UDU~a|, |PA~a.UDU~a|","|PA.UDU|"
"󲆊","|PAP~a.IB~a|","|PAP~a.IB~a|, |PAP~a.IB~a|","|PAP.IB|"
"𒦌","|PIRIG~b1+DIN|","|PIRIG~b1+DIN|, |PIRIG~b1+DIN|","|PIRIG+DIN|"
"󲑧","|PIRIG~b1×UR₂|","|PIRIG~b1×UR2|, |PIRIG~b1×UR₂|","|PIRIG×UR₂|"
"𒦙","|SAG+UKKIN~b×1(N57)|","|SAG+UKKIN~b×1(N57)|, |SAG+UKKIN~b×1(N57)|","|SAG+UKKIN×1(N57)|"
"󲑫","|SAG×1(N14)|","|SAG×1(N14)|, |SAG×1(N14)|","|SAG×1(N14)|"
"𒦚","|SAG×GEŠTU~a|","|SAG×GEŠTU~a|, |SAG×GEŠTU~a|","|SAG×GEŠTU|"
"𒦛","|SAG×GEŠTU~b|","|SAG×GEŠTU~b|, |SAG×GEŠTU~b|","|SAG×GEŠTU|"
"󲑪","|SAG×GEŠTU~c|","|SAG×GEŠTU~c|, |SAG×GEŠTU~c|","|SAG×GEŠTU|"
"𒦜","|SAG×MA|","|SAG×MA|, |SAG×MA|","|SAG×MA|"
"𒦝","|SAG×NAM₂|","|SAG×NAM2|, |SAG×NAM₂|","|SAG×NAM₂|"
"󲉗","|SAL.KUR~a|","|SAL.KUR~a|, |SAL.KUR~a|","|SAL.KUR|"
"󲉘","|SAL.LAGAR~a|","|SAL.LAGAR~a|, |SAL.LAGAR~a|","|SAL.LAGAR|"
"󲉙","|SAL.LAM~b|","|SAL.LAM~b|, |SAL.LAM~b|","|SAL.LAM|"
"𒦡𒤈","|SAL.ME~a|","|SAL.ME~a|, |SAL.ME~a|","|SAL.ME|"
"󲉛","|SAL.NAM₂.EZEN~b×ŠE~a@t.NUN~a.SIG₇|","|SAL.NAM2.EZEN~b×ŠE~a@t.NUN~a.SIG7|, |SAL.NAM₂.EZEN~b×ŠE~a@t.NUN~a.SIG₇|","|SAL.NAM₂.EZEN×ŠE.NUN.SIG₇|"
"󲉚","|SAL.NAM₂|","|SAL.NAM2|, |SAL.NAM₂|","|SAL.NAM₂|"
"󲉝","|SAL.SILA₄~c|","|SAL.SILA4~c|, |SAL.SILA₄~c|","|SAL.SILA₄|"
"󲉞","|SAL.ŠU₂|","|SAL.ŠU2|, |SAL.ŠU₂|","|SAL.ŠU₂|"
"󲉟","|SAL.ZATU751~a|","|SAL.ZATU751~a|, |SAL.ZATU751~a|","|SAL.ZATU751|"
"󲉡","|SAL.ZATU751~c|","|SAL.ZATU751~c|, |SAL.ZATU751~c|","|SAL.ZATU751|"
"𒦢","|SAL×1(N58)|","|SAL×1(N58)|, |SAL×1(N58)|","|SAL×1(N58)|"
"𒦨","|SAR~a×ŠE~a|","|SAR~a×ŠE~a|, |SAR~a×ŠE~a|","|SAR×ŠE|"
"𒦭","|SI+AN|","|SI+AN|, |SI+AN|","|SI+AN|"
"𒦴","|SI×1(N58)|","|SI×1(N58)|, |SI×1(N58)|","|SI×1(N58)|"
"𒦮","|SI×EN~a|","|SI×EN~a|, |SI×EN~a|","|SI×EN|"
"𒦯","|SI×GU₄|","|SI×GU4|, |SI×GU₄|","|SI×GU₄|"
"𒦰","|SI×KU~b1|","|SI×KU~b1|, |SI×KU~b1|","|SI×KU|"
"𒦱","|SI×SAL|","|SI×SAL|, |SI×SAL|","|SI×SAL|"
"𒦲","|SI×ŠE₃|","|SI×ŠE3|, |SI×ŠE₃|","|SI×ŠE₃|"
"𒦳","|SI×TUN₃~a|","|SI×TUN3~a|, |SI×TUN₃~a|","|SI×TUN₃|"
"𒧀","|SIG₂~b&SIG₂~b|","|SIG2~b&SIG2~b|, |SIG₂~b&SIG₂~b|","|SIG₂&SIG₂|"
"󲑭","|SIG₂~b×1(N14)|","|SIG2~b×1(N14)|, |SIG₂~b×1(N14)|","|SIG₂×1(N14)|"
"𒧩","|SILA₃~a×(ZATU659.TU~c)|","|SILA3~a×(ZATU659.TU~c)|, |SILA₃~a×(ZATU659.TU~c)|","|SILA₃×(ZATU659.TU)|"
"𒧪","|SILA₃~a×1(N57)|","|SILA3~a×1(N57)|, |SILA₃~a×1(N57)|","|SILA₃×1(N57)|"
"󲑱","|SILA₃~a×1(N58)|","|SILA3~a×1(N58)|, |SILA₃~a×1(N58)|","|SILA₃×1(N58)|"
"𒧋","|SILA₃~a×A|","|SILA3~a×A|, |SILA₃~a×A|","|SILA₃×A|"
"𒧌","|SILA₃~a×AMAR|","|SILA3~a×AMAR|, |SILA₃~a×AMAR|","|SILA₃×AMAR|"
"𒧍","|SILA₃~a×DUG~a|","|SILA3~a×DUG~a|, |SILA₃~a×DUG~a|","|SILA₃×DUG|"
"𒧎","|SILA₃~a×GA~a|","|SILA3~a×GA~a|, |SILA₃~a×GA~a|","|SILA₃×GA|"
"𒧏","|SILA₃~a×GARA₂~a|","|SILA3~a×GARA2~a|, |SILA₃~a×GARA₂~a|","|SILA₃×GARA₂|"
"𒧐","|SILA₃~a×GEŠTU~a|","|SILA3~a×GEŠTU~a|, |SILA₃~a×GEŠTU~a|","|SILA₃×GEŠTU|"
"𒧑","|SILA₃~a×GEŠTU~c3|","|SILA3~a×GEŠTU~c3|, |SILA₃~a×GEŠTU~c3|","|SILA₃×GEŠTU|"
"󲑮","|SILA₃~a×GEŠTU~c5|","|SILA3~a×GEŠTU~c5|, |SILA₃~a×GEŠTU~c5|","|SILA₃×GEŠTU|"
"𒧒","|SILA₃~a×HAŠHUR|","|SILA3~a×HAŠHUR|, |SILA₃~a×HAŠHUR|","|SILA₃×HAŠHUR|"
"󲑯","|SILA₃~a×HI@g~a|","|SILA3~a×HI@g~a|, |SILA₃~a×HI@g~a|","|SILA₃×HI|"
"𒧓","|SILA₃~a×HI|","|SILA3~a×HI|, |SILA₃~a×HI|","|SILA₃×HI|"
"𒧔","|SILA₃~a×IB~a|","|SILA3~a×IB~a|, |SILA₃~a×IB~a|","|SILA₃×IB|"
"𒧕","|SILA₃~a×KAŠ~a|","|SILA3~a×KAŠ~a|, |SILA₃~a×KAŠ~a|","|SILA₃×KAŠ|"
"𒧖","|SILA₃~a×KAŠ~c|","|SILA3~a×KAŠ~c|, |SILA₃~a×KAŠ~c|","|SILA₃×KAŠ|"
"𒧗","|SILA₃~a×KAŠ~d|","|SILA3~a×KAŠ~d|, |SILA₃~a×KAŠ~d|","|SILA₃×KAŠ|"
"𒧘","|SILA₃~a×KU₆~a|","|SILA3~a×KU6~a|, |SILA₃~a×KU₆~a|","|SILA₃×KU₆|"
"𒧙","|SILA₃~a×KUR~a|","|SILA3~a×KUR~a|, |SILA₃~a×KUR~a|","|SILA₃×KUR|"
"𒧚","|SILA₃~a×MA|","|SILA3~a×MA|, |SILA₃~a×MA|","|SILA₃×MA|"
"𒧛","|SILA₃~a×MAŠ|","|SILA3~a×MAŠ|, |SILA₃~a×MAŠ|","|SILA₃×MAŠ|"
"𒧜","|SILA₃~a×MUD₃~b|","|SILA3~a×MUD3~b|, |SILA₃~a×MUD₃~b|","|SILA₃×MUD₃|"
"𒧝","|SILA₃~a×NAGA~a|","|SILA3~a×NAGA~a|, |SILA₃~a×NAGA~a|","|SILA₃×NAGA|"
"𒧞","|SILA₃~a×NI~a|","|SILA3~a×NI~a|, |SILA₃~a×NI~a|","|SILA₃×NI|"
"𒧟","|SILA₃~a×NUN~b|","|SILA3~a×NUN~b|, |SILA₃~a×NUN~b|","|SILA₃×NUN|"
"𒧠","|SILA₃~a×SUHUR|","|SILA3~a×SUHUR|, |SILA₃~a×SUHUR|","|SILA₃×SUHUR|"
"𒧡","|SILA₃~a×SUM~a|","|SILA3~a×SUM~a|, |SILA₃~a×SUM~a|","|SILA₃×SUM|"
"𒧢","|SILA₃~a×SUM~b|","|SILA3~a×SUM~b|, |SILA₃~a×SUM~b|","|SILA₃×SUM|"
"𒧤","|SILA₃~a×ŠE~a@t|","|SILA3~a×ŠE~a@t|, |SILA₃~a×ŠE~a@t|","|SILA₃×ŠE|"
"𒧣","|SILA₃~a×ŠE~a|","|SILA3~a×ŠE~a|, |SILA₃~a×ŠE~a|","|SILA₃×ŠE|"
"𒧥","|SILA₃~a×ŠU|","|SILA3~a×ŠU|, |SILA₃~a×ŠU|","|SILA₃×ŠU|"
"𒧦","|SILA₃~a×ŠU₂|","|SILA3~a×ŠU2|, |SILA₃~a×ŠU₂|","|SILA₃×ŠU₂|"
"󲑰","|SILA₃~a×X|","|SILA3~a×X|, |SILA₃~a×X|","|SILA₃×X|"
"𒧧","|SILA₃~a×ZATU629|","|SILA3~a×ZATU629|, |SILA₃~a×ZATU629|","|SILA₃×ZATU629|"
"𒧨","|SILA₃~a×ZATU646|","|SILA3~a×ZATU646|, |SILA₃~a×ZATU646|","|SILA₃×ZATU646|"
"𒧬","|SILA₃~b×GUG₂|","|SILA3~b×GUG2|, |SILA₃~b×GUG₂|","|SILA₃×GUG₂|"
"𒧭","|SILA₃~b×NAGA~b|","|SILA3~b×NAGA~b|, |SILA₃~b×NAGA~b|","|SILA₃×NAGA|"
"𒧮","|SILA₃~b×NI~a|","|SILA3~b×NI~a|, |SILA₃~b×NI~a|","|SILA₃×NI|"
"𒧯","|SILA₃~b×NI~b|","|SILA3~b×NI~b|, |SILA₃~b×NI~b|","|SILA₃×NI|"
"󲑳","|SILA₃~c×ŠU|","|SILA3~c×ŠU|, |SILA₃~c×ŠU|","|SILA₃×ŠU|"
"𒧰","|SILA₃~c×ZATU687|","|SILA3~c×ZATU687|, |SILA₃~c×ZATU687|","|SILA₃×ZATU687|"
"󲑴","|SILA₃~d×NI~a|","|SILA3~d×NI~a|, |SILA₃~d×NI~a|","|SILA₃×NI|"
"𒧸","|SU~a×1(N58)|","|SU~a×1(N58)|, |SU~a×1(N58)|","|SU×1(N58)|"
"󲈧","|ŠE~a.GAR|","|ŠE~a.GAR|, |ŠE~a.GAR|","|ŠE.GAR|"
"󲉣","|ŠE~a.GUG₂|","|ŠE~a.GUG2|, |ŠE~a.GUG₂|","|ŠE.GUG₂|"
"󲆏","|ŠE~a.KIN₂~c|","|ŠE~a.KIN2~c|, |ŠE~a.KIN₂~c|","|ŠE.KIN₂|"
"󲔞","|ŠE~a.NAM₂|","|ŠE~a.NAM2|, |ŠE~a.NAM₂|","|ŠE.NAM₂|"
"𒨣","|ŠE~a&ŠE~a|","|ŠE~a&ŠE~a|, |ŠE~a&ŠE~a|","|ŠE&ŠE|"
"𒨯","|ŠEN~e×A|","|ŠEN~e×A|, |ŠEN~e×A|","|ŠEN×A|"
"󲉤","|ŠEŠ~a.NA~a|","|ŠEŠ~a.NA~a|, |ŠEŠ~a.NA~a|","|ŠEŠ.NA|"
"󲑻","|ŠITA@g~a×1(N04)|","|ŠITA@g~a×1(N04)|, |ŠITA@g~a×1(N04)|","|ŠITA×1(N04)|"
"𒩄","|ŠITA@g~a×1(N06)|","|ŠITA@g~a×1(N06)|, |ŠITA@g~a×1(N06)|","|ŠITA×1(N06)|"
"󲉥","|ŠITA~a1.MUD₃~a|","|ŠITA~a1.MUD3~a|, |ŠITA~a1.MUD₃~a|","|ŠITA.MUD₃|"
"󲑺","|ŠITA~a1×1(N06)|","|ŠITA~a1×1(N06)|, |ŠITA~a1×1(N06)|","|ŠITA×1(N06)|"
"𒨺","|ŠITA~a1×KAK~a|","|ŠITA~a1×KAK~a|, |ŠITA~a1×KAK~a|","|ŠITA×KAK|"
"𒨻","|ŠITA~a1×ŠU|","|ŠITA~a1×ŠU|, |ŠITA~a1×ŠU|","|ŠITA×ŠU|"
"󲑸","|ŠITA~a1×ŠU₂|","|ŠITA~a1×ŠU2|, |ŠITA~a1×ŠU₂|","|ŠITA×ŠU₂|"
"󲑹","|ŠITA~a1×UDU~a|","|ŠITA~a1×UDU~a|, |ŠITA~a1×UDU~a|","|ŠITA×UDU|"
"𒩀","|ŠITA~b2@g×HI@g~a|","|ŠITA~b2@g×HI@g~a|, |ŠITA~b2@g×HI@g~a|","|ŠITA×HI|"
"𒩂","|ŠITA~b3×NAM₂|","|ŠITA~b3×NAM2|, |ŠITA~b3×NAM₂|","|ŠITA×NAM₂|"
"𒩈","|ŠU&ŠU|","|ŠU&ŠU|, |ŠU&ŠU|","|ŠU&ŠU|"
"𒩇","|ŠU×1(N58)|","|ŠU×1(N58)|, |ŠU×1(N58)|","|ŠU×1(N58)|"
"󲉫","|ŠU₂.(HI×1(N57))&(HI×1(N57))|","|ŠU2.(HI×1(N57))&(HI×1(N57))|, |ŠU₂.(HI×1(N57))&(HI×1(N57))|","|ŠU₂.(HI×1(N57))&(HI×1(N57))|"
"󲉮","|ŠU₂.1(N02)|","|ŠU2.1(N02)|, |ŠU₂.1(N02)|","|ŠU₂.1(N02)|"
"󲉯","|ŠU₂.1(N24)|","|ŠU2.1(N24)|, |ŠU₂.1(N24)|","|ŠU₂.1(N24)|"
"󲉦","|ŠU₂.AN|","|ŠU2.AN|, |ŠU₂.AN|","|ŠU₂.AN|"
"󲉧","|ŠU₂.E₂~a|","|ŠU2.E2~a|, |ŠU₂.E₂~a|","|ŠU₂.E₂|"
"󲉨","|ŠU₂.E₂~b|","|ŠU2.E2~b|, |ŠU₂.E₂~b|","|ŠU₂.E₂|"
"󲆥","|ŠU₂.EN~a|","|ŠU2.EN~a|, |ŠU₂.EN~a|","|ŠU₂.EN|"
"󲉩","|ŠU₂.EN~b|","|ŠU2.EN~b|, |ŠU₂.EN~b|","|ŠU₂.EN|"
"󲉬","|ŠU₂.PAP~a|","|ŠU2.PAP~a|, |ŠU₂.PAP~a|","|ŠU₂.PAP|"
"󲉭","|ŠU₂.URI₃~a|","|ŠU2.URI3~a|, |ŠU₂.URI₃~a|","|ŠU₂.URI₃|"
"󲔝","|ŠU₂×3(N57)|","|ŠU2×3(N57)|, |ŠU₂×3(N57)|","|ŠU₂×3(N57)|"
"𒩎","|ŠUR₂×1(N58)|","|ŠUR2×1(N58)|, |ŠUR₂×1(N58)|","|ŠUR₂×1(N58)|"
