"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒐑","𒐑",60,"60 (6 times U, 6 times BUR2)","60 (6 times U, 6 times BUR<sub>2</sub>)","715","476","U+12411 (NUMERIC SIGN SIX U)","60 (6 times U, 6 times BUR2)","60 (6 times U, 6 times BUR2)","476-60",715
"𒐒","𒐒",70,"70 (7 times U, 7 times BUR2)","70 (7 times U, 7 times BUR<sub>2</sub>)","716","477","U+12412 (NUMERIC SIGN SEVEN U)","70 (7 times U, 7 times BUR2)","70 (7 times U, 7 times BUR2)","477-70",716
"𒐓","𒐓",80,"80 (8 times U, 8 times BUR2)","80 (8 times U, 8 times BUR<sub>2</sub>)","717","478","U+12413 (NUMERIC SIGN EIGHT U)","80 (8 times U, 8 times BUR2)","80 (8 times U, 8 times BUR2)","478-80",717
"𒐔","𒐔",90,"90 (9 times U, 9 times BUR2)","90 (9 times U, 9 times BUR<sub>2</sub>)","718","479","U+12414 (NUMERIC SIGN NINE U)","90 (9 times U, 9 times BUR2)","90 (9 times U, 9 times BUR2)","479-90",718
"𒑱","𒑱",":",": (division sign)",": (division sign)","592","378, 377n1","U+12471 (PUNCTUATION SIGN VERTICAL COLON)",": (division sign)",": (division sign)","–",592
"𒑢","𒑢","1/4","1/4","1/4</font> <font color=""#878787"">(MesZL: only Kültepe)</font>)","594","378an","U+12462 (OLD ASSYRIAN ONE QUARTER)","1/4 (MesZL: only Kültepe)","1/4","–",594
"𒑡","𒑡","1/6","1/6","1/6</font> <font color=""#878787"">(MesZL: only Kültepe)</font>)","630","395an","U+12461 (NUMERIC SIGN OLD ASSYRIAN ONE SIXTH)","1/6 (MesZL: only Kültepe)","1/6","–",630
"𒈫𒌍","𒈫𒌍","2,3","2, 30 (MIN.U.U.U; 2 30/60, 2+30, 2+1/2, 150)","2,30 (MIN.U.U.U; 2 30/60, 2+30 2+1/2 150)","831","578 (Labat), 578a (ABZ)","U+1222B & U+1230D (MIN & U U U)","2,30 (MIN.U.U.U; 2 30/60, 2+30, 2+1/2, 150)","2, 30 (MIN.U.U.U; 2 30/60, 2+30, 2+1/2, 150)","–",831
"𒀱","𒀱","4 × AN.NAGA forming a cross","4 × AN.NAGA forming a cross (AN.NAGA squared; DALḪAMUN4, RIḪAMUN4)","4 × AN.NAGA forming a cross (AN.NAGA squared; DALḪAMUN<sub>4</sub></font> <font color=""#878787"">(MesZL: instead of RIḪAMUN<sub>4</sub> of Deimel and Labat)</font>, <font color=""#c5000b"">RIḪAMUN<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: missing)</font>)","293","165a","U+12031 (AN PLUS NAGA SQUARED)","4 × AN.NAGA forming a cross (AN.NAGA squared; DALḪAMUN4 (MesZL: instead of RIḪAMUN4 of Deimel and Labat), RIḪAMUN4 (Labat; MesZL: missing))","4 × AN.NAGA forming a cross (AN.NAGA squared; DALHAMUN4, RIHAMUN4)","–",293
"𒀀","𒀀","A","A (ʾA4, ʾE4, ʾI4, ʾU4, AIA2, AŠA2, DU23, DUR5, DURU5, E4, EA, EBIR3, EPIR3, EŠ10, IA10, ID5, ME5, MU14, ṬUR5, ZE6)","A (<font color=""#c5000b"">ʾA<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: ʾA<sub>4</sub> = ḪA (no. 856))</font>, <font color=""#c5000b"">ʾE<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: ʾE<sub>4</sub> missing)</font>, <font color=""#c5000b"">ʾI<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: ʾI<sub>4</sub> missing)</font>, ʾU<sub>4</sub> <font color=""#878787"">(MesZL: Labat ʾU<sub>5</sub>; Labat: A = ʾU<sub>4</sub> (no. 839))</font>, AIA<sub>2</sub>, <font color=""#c5000b"">AŠA<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: AŠA<sub>2</sub> = AŠ<sub>2</sub> (no. 548))</font>, <font color=""#c5000b"">DU<sub>23</sub></font> <font color=""#878787"">(Labat; MesZL: DU<sub>23</sub> missing)</font>, DUR<sub>5</sub>, DURU<sub>5</sub>, E<sub>4</sub>, EA, EBIR<sub>3</sub>, EPIR<sub>3</sub>, EŠ<sub>10</sub>, IA<sub>10</sub>, ID<sub>5</sub></font> <font color=""#878787"">(MesZL: to be erased)</font>, ME<sub>5</sub>, MU<sub>14</sub>, ṬUR<sub>5</sub>, <font color=""#c5000b"">ZE<sub>6</sub></font> <font color=""#878787"">(Labat: ?; MesZL: ZE<sub>6</sub> missing)</font>)","839","579","U+12000 (A)","A (’A4 (Labat; MesZL: ’A4 = ḪA (no. 856), ’E4 (Labat; MesZL: ’E4 missing), ’I4 (Labat; MesZL: ’I4 missing), ’U4 (MesZL: Labat ’U5; Labat: A = ’U4 (no. 839)), AIA2, AŠA2 (Labat; MesZL: AŠA2 = AŠ2 (no. 548)), DU23 (Labat; MesZL: DU23 missing), DUR5, DURU5, E4, EA, EBIR3, EPIR3, EŠ10, IA10, ID5 (MesZL: to be erased), ME5, MU14, ṬUR5, ZE6 (Labat: ?; MesZL: ZE6 missing))","A (ʾA4, ʾE4, ʾI4, ʾU4, AIA2, ASHA2, DU23, DUR5, DURU5, E4, EA, EBIR3, EPIR3, ESH10, IA10, ID5, ME5, MU14, ṬUR5, ZE6)","579-A",839
"𒀁","𒀁","A × A","A × A (EDUR, EDURU)","A × A (EDUR, EDURU)","845","583","U+12001 (A TIMES A)","A × A (EDUR, EDURU)","A × A (EDUR, EDURU)","583-EDURU",845
"𒀂","𒀂","A × BAD","A × BAD (AGAM 7)","A × BAD (AGAM</font> <font color=""#878787"">(MesZL: also A.BAD (nos. 839+113), Deimel AGAM<sub>2</sub>)</font>)","840","580","U+12002 (A TIMES BAD)","A × BAD (AGAM (MesZL: also A.BAD (nos. 839+113), Deimel AGAM2))","A × BAD (AGAM 7)","580-AGAM",840
"𒀆","𒀆","A × DU₆","A × DU6 (A × LAGAR gunû; ŠEDU3)","A × DU<sub>6</sub> (A × LAGAR <i>gunû</i>; ŠEDU<sub>3</sub>)","843","582","U+12006 (A TIMES LAGAR GUNU)","A × DU6 (A × LAGAR gunû; ŠEDU3)","A × DU6 (A × LAGAR gunû; SHEDU3)","582-SHEDU3",843
"𒀃","𒀃","A × GAN₂ tenû","A × GAN2 tenû","A × GAN<sub>2</sub> <i>tenû</i>","839 (sign A)","579 (sign A)","U+12003 (SIGN A TIMES GAN2 TENU)","A × GAN2 tenû","A × GAN2 tenû","–",839
"𒀄","𒀄","A × ḪA","A × ḪA (SAḪ7, SAḪA7, ZAḪ3, ZAḪA3)","A × ḪA (SAḪ<sub>7</sub>, SAḪA<sub>7</sub>, ZAḪ<sub>3</sub>, ZAḪA<sub>3</sub>)","846","584, 584, 587 (ŠL)","U+12004 (A TIMES HA)","A × ḪA (SAḪ7, SAḪA7, ZAḪ3, ZAḪA3)","A × HA (SAH7, SAHA7, ZAH3, ZAHA3)","584-ZAH3",846
"𒀅","𒀅","A × IGI","A × IGI (ER6, IR6, ISIŠ3, ŠEŠ3)","A × IGI (ER<sub>6</sub>, IR<sub>6</sub>, ISIŠ<sub>3</sub>, ŠEŠ<sub>3</sub>)","844","581","U+12005 (A TIMES IGI)","A × IGI (ER6, IR6, ISIŠ3, ŠEŠ3)","A × IGI (ER6, IR6, ISISH3, SHESH3)","581-IR6",844
"𒀇","𒀇","A × MUŠ","A × MUŠ (AMUŠ, AMUŠA)","A × MUŠ (AMUŠ, <font color=""#579d1c"">AMUŠA</font> <font color=""#878787"">(ABZ; MesZL: AMUŠA missing)</font>)","842","580a","U+12007 (A TIMES MUSH)","A × MUŠ (AMUŠ, AMUŠA (ABZ; MesZL: AMUŠA missing))","A × MUSH (AMUSH, AMUSHA)","–",842
"𒀈","𒀈","A × SAG","A × SAG (ESAG)","A × SAG (ESAG)","841","585","U+12008 (A TIMES SAG)","A × SAG (ESAG)","A × SAG (ESAG)","585-ESAG",841
"𒀀𒀀","𒀀𒀀","A.A","A.A (AI, AIA, AIIA, AIIU, AIIE, AIII, AIE, AII, AIU, AJA, AJE, AJI, AJJA, AJJE, AJJI, AJJU, AJU, AYA, AYE, AYI, AYYA, AYYE, AYYI, AYYU, AYU, IJA, IJE, IJI, IJJA, IJJE, IJJI, IJJU, IJU, IYA, IYE, IYI, IYYA, IYYE, IYYI, IYYU, IYU)","A.A (AI, AIA, AIIA, AIIU, AIIE, AIII, AIE, AII, AIU, AJA, AJE, AJI,AJJA, AJJE, AJJI, AJJU, AJU, AYA, AYE, AYI, AYYA, AYYE, AYYI, AYYU, AYU, IJA, IJE, IJI, IJJA, IJJE, IJJI, IJJU, IJU, IYA, IYE, IYI, IYYA, IYYE, IYYI, IYYU, IYU)","839+839","579+579","U+12000 & U+12000 (A & A)","A.A (AI, AIA, AIIA, AIIU, AIIE, AIII, AIE, AII, AIU, AJA, AJE, AJI,AJJA, AJJE, AJJI, AJJU, AJU, AYA, AYE, AYI, AYYA, AYYE, AYYI, AYYU, AYU, IJA, IJE, IJI, IJJA, IJJE, IJJI, IJJU, IJU, IYA, IYE, IYI, IYYA, IYYE, IYYI, IYYU, IYU)","A.A (AI, AIA, AIIA, AIIU, AIIE, AIII, AIE, AII, AIU, AJA, AJE, AJI, AJJA, AJJE, AJJI, AJJU, AJU, AYA, AYE, AYI, AYYA, AYYE, AYYI, AYYU, AYU, IJA, IJE, IJI, IJJA, IJJE, IJJI, IJJU, IJU, IYA, IYE, IYI, IYYA, IYYE, IYYI, IYYU, IYU)","–",839
"𒀀𒄠","𒀀𒄠","A.AM","A.AM (ADAR, ILDAG2)","A.AM (ADAR, ILDAG<sub>2</sub></font> <font color=""#878787"">(MesZL: also AM × A (no. 310)</font>)","839+309","579+170","U+12000 & U+12120 (A & GUD TIMES KUR)","A.AM (ADAR, ILDAG2 (MesZL: also AM × A (no. 310)))","A.AM (ADAR, ILDAG2)","–",839
"𒀀𒀭","𒀀𒀭","A.AN","A.AN (A4, AM3, ŠE7, ŠEG3)","A.AN (A<sub>4</sub>, AM<sub>3</sub>, ŠE<sub>7</sub>, ŠEG<sub>3</sub>)","839+010","579+013","U+12000 & U+1202D (A & AN)","A.AN (A4, AM3, ŠE7, ŠEG3)","A.AN (A4, AM3, SHE7, SHEG3)","–",839
"𒀀𒀭𒂷","𒀀𒀭𒂷","A.AN.GA₂","A.AN.GA2 (BA4)","A.AN.GA<sub>2</sub> (BA<sub>4</sub></font> <font color=""#878787"">(MesZL: also GA<sub>2</sub> (387 and ZA.GA<sub>2</sub>.GA<sub>2</sub> (851+387+387)</font>)","839+010+387","579+013+233","U+12000 & U+1202D & U+120B7 (A & AN & GA2)","A.AN.GA2 (BA4 (MesZL: also GA2 (no. 387 and ZA.GA2.GA2 (no. 851+387+387)))","A.AN.GA2 (BA4)","–",839
"𒀀𒁁","𒀀𒁁","A.BAD","A.BAD (AGAM)","A.BAD (AGAM</font> <font color=""#878787"">(MesZL: also A × BAD (no. 840), Deimel AGAM<sub>2</sub>)</font>)","839+113","579+069","U+12000 &U+12041 (A & BAD)","A.BAD (AGAM (MesZL: also A × BAD (no. 840), Deimel AGAM2))","A.BAD (AGAM)","–",839
"𒀀𒁺","𒀀𒁺","A.DU","A.DU (A.RA2; TUŠE)","A.DU (A.RA<sub>2</sub>; TUŠE <font color=""#878787"">(MesZL: ?)</font>)","839+350","579+206","U+12000 & U+1207A (A & DU)","A.DU (TUŠE (MesZL: ?))","A.DU (A.RA2; TUSHE)","–",839
"𒀀𒂔","𒀀𒂔","A.EDIN","A.EDIN (ERU4, ERUA, ERUM4)","A.EDIN (ERU<sub>4</sub></font> <font color=""#878787"">(MesZL: better E<sub>4</sub>.RU<sub>6</sub>)</font>, ERUA <font color=""#878787"">(MesZL: erschlossen)</font>, ERUM<sub>4</sub> <font color=""#878787"">(MesZL: Deimel ERUM<sub>3</sub>, perhaps to be erased)</font>)","839+300","579+168","U+12000 & U+12094 (A & EDIN)","A.EDIN (ERU4 (MesZL: better E4.RU6), ERUA (MesZL: erschlossen), ERUM4 (MesZL: Deimel ERUM3, perhaps to be erased))","A.EDIN (ERU4, ERUA, ERUM4)","–",839
"𒀀𒂔𒇲","𒀀𒂔𒇲","A.EDIN.LAL","A.EDIN.LAL (UMMU, UMMU3, UMMUD)","A.EDIN.LAL (<font color=""#c5000b"">UMMU</font> <font color=""#878787"">(Labat; MesZL: UMMU<sub>3</sub>, UMMU missing)</font>, UMMU<sub>3</sub>, UMMUD)","839+300+750","579+168+481","U+12000 & U+12094 &U+121F2 (A & EDIN & LAL)","A.EDIN.LAL (UMMU (Labat; MesZL: UMMU3, UMMU missing), UMMU3, UMMUD)","A.EDIN.LAL (UMMU, UMMU3, UMMUD)","–",839
"𒀀𒇉","𒀀𒇉","A.ENGUR","A.ENGUR (A.LAGAB × ḪAL; I7, ID2, IT2, ITA5, ITI5, ITU5)","A.ENGUR (A.LAGAB × ḪAL; I<sub>7</sub>, ID<sub>2</sub>, IT<sub>2</sub></font> <font color=""#878787"">(MesZL: not occupable)</font>, ITA<sub>5</sub>, ITI<sub>5</sub>, ITU<sub>5</sub>)","839+756","579+484","U+12000 & U+121C9 (A & LAGAB TIMES HAL)","A.ENGUR (A.LAGAB × ḪAL; I7, ID2, IT2 (MesZL: not occupable), ITA5, ITI5, ITU5)","A.ENGUR (A.LAGAB × HAL; I7, ID2, IT2, ITA5, ITI5, ITU5)","579_484-ID2",839
"𒀀𒇉𒀭𒁈","𒀀𒇉𒀭𒁈","A.ENGUR.AN.BARA₂","A.ENGUR.AN.BARA2 (KUNIGARA)","A.ENGUR.AN.BARA<sub>2</sub> (<font color=""#c5000b"">KUNIGARA</font> <font color=""#878787"">(Labat; MesZL: KUNIGARA = AN.BARA<sub>2</sub> (nos. 10+554))</font>)","839+756+010+554","579+484+013+344","U+12000 & U+121C9 & U+1202D & U+12048 (A & LAGAB TIMES HAL & AN & BARA2)","A.ENGUR.AN.BARA2 (KUNIGARA (Labat; MesZL: KUNIGARA = AN.BARA2 (nos. 10+554)))","A.ENGUR.AN.BARA2 (KUNIGARA)","–",839
"𒀀𒇉𒀭𒈲","𒀀𒇉𒀭𒈲","A.ENGUR.AN.MUŠ","A.ENGUR.AN.MUŠ (KUNIGARA2)","A.ENGUR.AN.MUŠ (<font color=""#c5000b"">KUNIGARA<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: KUNIGARA<sub>2</sub> = AN.MUŠ (nos. 10+585)</font>)","839+756+010+585","579+484+013+374","U+12000 & U+121C9 & U+1202D & U+12232 (A & LAGAB TIMES HAL & AN & MUSH)","A.ENGUR.AN.MUŠ (KUNIGARA2 (Labat; MesZL: KUNIGARA2 = AN.MUŠ (nos. 10+585)))","A.ENGUR.AN.MUSH (KUNIGARA2)","–",839
"𒀀𒇉𒀭𒈶","𒀀𒇉𒀭𒈶","A.ENGUR.AN.RI₈","A.ENGUR.AN.RI8 (A.ENGUR.AN.MUŠ over MUŠ; KUNIGARA4)","A.ENGUR.AN.RI<sub>8</sub> (A.ENGUR.AN.MUŠ over MUŠ; KUNIGARA<sub>4</sub></font> <font color=""#878787"">(Labat: MesZL: MesZL: KUNIGARA<sub>4</sub> = AN.RI<sub>8</sub> (nos. 10+586)</font>)","839+756+010+586","579+484+013+374","U+12000 & U+121C9 & U+1202D & U+12236 (A & LAGAB TIMES HAL & AN & MUSH OVER MUSH)","A.ENGUR.AN.RI8 (A.ENGUR.AN.MUŠ over MUŠ; KUNIGARA4 (Labat: MesZL: MesZL: KUNIGARA4 = AN.RI8 (nos. 10+586)))","A.ENGUR.AN.RI8 (A.ENGUR.AN.MUSH over MUSH; KUNIGARA4)","–",839
"𒀀𒇉𒀭𒌅","𒀀𒇉𒀭𒌅","A.ENGUR.AN.TU","A.ENGUR.AN.TU (KUNIGARA3)","A.ENGUR.AN.TU (<font color=""#c5000b"">KUNIGARA<sub>3</sub></font> <font color=""#878787"">(Labat; MesZL: KUNIGARA<sub>3</sub> = AN.TU (nos. 10+86))</font>)","839+756+010+086","579+484+013+058","U+12000 & U+121C9 & U+1202D & U+12305 (A & LAGAB TIMES HAL & AN & TU)","A.ENGUR.AN.TU (KUNIGARA3 (Labat; MesZL: KUNIGARA3 = AN.TU (nos. 10+86)))","A.ENGUR.AN.TU (KUNIGARA3)","–",839
"𒀀𒇉𒁲","𒀀𒇉𒁲","A.ENGUR.DI","A.ENGUR.DI (ID7)","A.ENGUR.DI (ID<sub>7</sub>)","839+756+736","579+484+457","U+12000 & U+121C9 & U+12072 (A & LAGAB TIMES HAL & DI)","A.ENGUR.DI (ID7)","A.ENGUR.DI (ID7)","–",839
"𒀀𒇉𒈣𒈮","𒀀𒇉𒈣𒈮","A.ENGUR.DIMGUL","A.ENGUR.DIMGUL (TARGUL)","A.ENGUR.DIMGUL (<font color=""#c5000b"">TARGUL</font> <font color=""#878787"">(Labat; MesZL: TARGUL = DIMGUL (no. 202))</font>)","839+756+202","579+484+122a","U+12000 & U+121C9 & U+12223 & U+1222E (A & LAGAB TIMES HAL & MA2 & MUG)","A.ENGUR.DIMGUL (TARGUL (Labat; MesZL: TARGUL = DIMGUL (no. 202))","A.ENGUR.DIMGUL (TARGUL)","–",839
"𒀀𒇉𒃲","𒀀𒇉𒃲","A.ENGUR.GAL","A.ENGUR.GAL (ID6)","A.ENGUR.GAL (ID<sub>6</sub>)","839+756+553","579+484+343","U+12000 & U+121C9 & U+120F2 (A & LAGAB TIMES HAL & GAL)","A.ENGUR.GAL (ID6)","A.ENGUR.GAL (ID6)","–",839
"𒀀𒇒","𒀀𒇒","A.ESIR₂","A.ESIR2 (ESIR)","A.ESIR<sub>2</sub> (ESIR)","839+761","579+487","U+12000 & U+121D2 (A & LAGAB TIMES KUL)","A.ESIR2 (ESIR)","A.ESIR2 (ESIR)","–",839
"𒀀𒃮","𒀀𒃮","A.GABA","A.GABA (ZIGABAB)","A.GABA (<font color=""#c5000b"">ZIGABAB</font> <font color=""#878787"">(Labat; MesZL: ZIABAB missing)</font>)","839+298","579+167","U+12000 & U+120EE (A & GABA)","A.GABA (ZIGABAB (Labat; MesZL: ZIABAB missing))","A.GABA (ZIGABAB)","–",839
"𒀀𒃼","𒀀𒃼","A.GAR₃","A.GAR3 (AGAR, UGAR)","A.GAR<sub>3</sub> (AGAR</font> <font color=""#666666"">(MesZL: needless, read A.GAR<sub>3</sub>)</font>, UGAR)","839+543","579+333","U+12000 & U+120FC (A & GAR3)","A.GAR3 (AGAR (MesZL: needless, read A.GAR3), UGAR)","A.GAR3 (AGAR, UGAR)","–",839
"𒀀𒈖","𒀀𒈖","A.GUG₂","A.GUG2 (AGAR5, KUNIGARA5)","A.GUG<sub>2</sub> (<font color=""#c5000b"">AGAR<sub>5</sub></font> <font color=""#878787"">(Labat: ?; MesZL: AGAR<sub>5</sub> = IM crossing IM (no. 641))</font>, KUNIGARA<sub>5</sub>)","839+555","579+345","U+12000 & U+12216 (A & LU3)","A.GUG2 (AGAR5 (Labat: ?; MesZL: AGAR5 = IM crossing IM (no. 641)), KUNIGARA5)","A.GUG2 (AGAR5, KUNIGARA5)","–",839
"𒀀𒄩","𒀀𒄩","A.ḪA","A.ḪA (KUAR2, KUARA2, TUBA2)","A.ḪA (KUAR<sub>2</sub>, KUARA<sub>2</sub>, TUBA<sub>2</sub>)","839+856","579+589","U+12000 & U+12129 (A & HA)","A.ḪA (KUAR2, KUARA2, TUBA2)","A.HA (KUAR2, KUARA2, TUBA2)","–",839
"𒀀𒄩𒋻𒁺","𒀀𒄩𒋻𒁺","A.ḪA.TAR.DU","A.ḪA.TAR.DU (GIRIM3, GIRIMA3, GIRIMMA3, NUN2)","A.ḪA.TAR.DU (GIRIM<sub>3</sub>, GIRIMA<sub>3</sub></font> <font color=""#878787"">(MesZL: designates more variants as GIRIM(M)A<sub>x</sub>)</font>, GIRIMMA<sub>3</sub></font> <font color=""#878787"">(MesZL: designates more variants as GIRIM(M)A<sub>x</sub>)</font>, NUN<sub>2</sub>)","839+856+009+350","579+589+012+206","U+12000 & U+12129 & U+122FB & U+1207A (A & HA & TAR & DU)","A.ḪA.TAR.DU (GIRIM3, GIRIMA3 (MesZL: designates more variants as GIRIM(M)Ax), GIRIMMA3 (MesZL: designates more variants as GIRIM(M)Ax), NUN2)","A.HA.TAR.DU (GIRIM3, GIRIMA3, GIRIMMA3, NUN2)","–",839
"𒀀𒅆","𒀀𒅆","A.IGI","A.IGI (ER2, ESEŠ, EŠ9, IR2, IRA2, ISIŠ2, ŠEŠ5)","A.IGI (ER<sub>2</sub>, ESEŠ, EŠ<sub>9</sub>, IR<sub>2</sub>, IRA<sub>2</sub>, ISIŠ<sub>2</sub>, <font color=""#c5000b"">ŠEŠ<sub>5</sub></font> <font color=""#878787"">(Labat; MesZL: ŠEŠ<sub>5</sub> missing)</font>)","839+724","579+449","U+12000 & U+12146 (A & IGI)","A.IGI (ER2, ESEŠ, EŠ9, IR2, IRA2, ISIŠ2, ŠEŠ5 (Labat; MesZL: ŠEŠ5 missing))","A.IGI (ER2, ESESH, ESH9, IR2, IRA2, ISISH2, SHESH5)","–",839
"𒀀𒅗","𒀀𒅗","A.KA","A.KA (UGA2, UGU2)","A.KA (UGA<sub>2</sub>, UGU<sub>2</sub>)","839+024","579+015","U+12000 & U+12157 (A & KA)","A.KA (UGA2, UGU2)","A.KA (UGA2, UGU2)","–",839
"𒀀𒆗","𒀀𒆗","A.KAL","A.KAL (ELA, ILLU)","A.KAL (ELA</font> <font color=""#878787"">(MesZL: or E<sub>4</sub>.LA<sub>6</sub>)</font>, ILLU)","839+496","579+322","U+12000 & U+12197 (A & KAL)","A.KAL (ELA (MesZL: or E4.LA6), ILLU)","A.KAL (ELA, ILLU)","–",839
"𒀀𒆪","𒀀𒆪","A.KU","A.KU (EGU)","A.KU (EGU <font color=""#878787"">(MesZL: better read E<sub>4</sub>.GU<sub>5</sub>; KŠ: in MesZL index erroneously 808)</font>)","839+808","579+536","U+12000 & U+121AA (A & KU)","A.KU (EGU (MesZL: better read E4.GU5; KŠ: in MesZL index erroneously no. 808))","A.KU (EGU)","–",839
"𒀀𒆵","𒀀𒆵","A.KUŠU₂","A.KUŠU2 (AKŠAK2)","A.KUŠU<sub>2</sub> (AKŠAK<sub>2</sub>)","839+896","579+562","U+12000 & U+121B5 (A & KUSHU2)","A.KUŠU2 (AKŠAK2)","A.KUSHU2 (AKSHAK2)","–",839
"𒀀𒆸𒆸","𒀀𒆸𒆸","A.LAGAB+LAGAB","A.LAGAB+LAGAB (ENIGIN)","A.LAGAB+LAGAB (<font color=""#c5000b"">ENIGIN</font> <font color=""#878787"">(Labat; MesZL: ENIGIN missing)</font>)","839+804","579+529","U+12000 & U+121B8 & U+121B8 (A & LAGAB & LAGAB)","A.LAGAB+LAGAB (ENIGIN (Labat; MesZL: ENIGIN missing))","A.LAGAB+LAGAB (ENIGIN)","–",839
"𒀀𒈪𒀀","𒀀𒈪𒀀","A.MI.A","A.MI.A (EGA)","A.MI.A (EGA <font color=""#878787"">(MesZL: better E<sub>4</sub>.GA<sub>12</sub>.A, E<sub>4</sub>.GI<sub>6</sub>.A)</font>)","839+681+839","579+427+579","U+12000 & U+1222A & U+12000 (A & MI & A)","A.MI.A (EGA (MesZL: better E4.GA12.A, E4.GI6.A))","A.MI.A (EGA)","–",839
"𒀀𒈹","𒀀𒈹","A.MUŠ₃","A.MUŠ3 (SE24, SED3, ŠE12)","A.MUŠ<sub>3</sub> (SE<sub>24</sub></font> <font color=""#878787"">(MesZL: also A × MUŠ<sub>3</sub> (154))</font>, SED<sub>3</sub></font> <font color=""#878787"">(MesZL: also A × MUŠ<sub>3</sub> (154))</font>, ŠE<sub>12</sub></font> <font color=""#878787"">(MesZL: also A × MUŠ<sub>3</sub> (154)</font>)","839+153","579+103","U+12000 & U+12239 (A & MUSH3)","A.MUŠ3 (SE24 (MesZL: also A × MUŠ3 (no. 154)), SED3 (MesZL: also A × MUŠ3 (no. 154)), ŠE12 (MesZL: also A × MUŠ3 (no. 154)))","A.MUSH3 (SE24, SED3, SHE12)","–",839
"𒀀𒈹𒁲","𒀀𒈹𒁲","A.MUŠ₃.DI","A.MUŠ3.DI (AMAGI, AMAGI2, ḪALBA6, ḪALBI6, ḪALBU6, MABI2, MAMMI2, SE26, SED5, ŠE18, ŠED11)","A.MUŠ<sub>3</sub>.DI (<font color=""#c5000b"">AMAGI</font> <font color=""#878787"">(Labat; MesZL: AMAGI<sub>2</sub>, AMAGI = SED (MUŠ<sub>3</sub> × A.DI, no. 155)</font>, AMAGI<sub>2</sub>, ḪALBA<sub>6</sub>, ḪALBI<sub>6</sub>, ḪALBU<sub>6</sub>, MABI<sub>2</sub></font> <font color=""#878787"">(MesZL: Deimel and Labat differently)</font>, MAMMI<sub>2</sub></font> <font color=""#878787"">(MesZL: Deimel and Labat differently)</font>, SE<sub>26</sub>, SED<sub>5</sub>, ŠE<sub>18</sub></font> <font color=""#878787"">(MesZL: Deimel and Labat differently)</font>, ŠED<sub>11</sub>)","839+153+736","579b+103+457","U+12000 & U+12239 & U+12072 (A & MUSH3 & DI)","A.MUŠ3.DI (AMAGI (Labat; MesZL: AMAGI2, AMAGI = SED (MUŠ3 × A.DI, no. 155)), AMAGI2, ḪALBA6, ḪALBI6, ḪALBU6, MABI2 (MesZL: Deimel and Labat differently), MAMMI2 (MesZL: Deimel and Labat differently), SE26, SED5, ŠE18 (MesZL: Deimel and Labat differently), ŠED11)","A.MUSH3.DI (AMAGI, AMAGI2, HALBA6, HALBI6, HALBU6, MABI2, MAMMI2, SE26, SED5, SHE18, SHED11)","–",839
"𒀀𒉺𒄐𒉻𒋛𒀀","𒀀𒉺𒄐𒉻𒋛𒀀","A.PA.GISAL.PAD.DIR","A.PA.GISAL.PAD.DIR (ADDIR, AʾUʾU, IDDIR)","A.PA.GISAL.PAD.DIR (ADDIR, AʾUʾU, IDDIR</font> <font color=""#878787"">(MesZL: ?)</font>)","839+464+376+746+207","579+295+226+469+123","U+12000 & U+1227A & U+12110 & U+1227B & U+122DB & U+12000 (A & PA & GISAL & PAD & SI & A)","A.PA.GISAL.PAD.DIR (ADDIR, A’U’U, IDDIR (MesZL: ?))","A.PA.GISAL.PAD.DIR (ADDIR, AʾUʾU, IDDIR)","–",839
"𒀀𒊕","𒀀𒊕","A.SAG","A.SAG (UGU3)","A.SAG (UGU<sub>3</sub>)","839+184","579+115","U+12000 & U+12295 (A & SAG)","A.SAG (UGU3)","A.SAG (UGU3)","–",839
"𒀀𒋢","𒀀𒋢","A.SU","A.SU (AKTUM)","A.SU (AKTUM)","839+016","579+007","U+12000 & U+122E2 (A & SU)","A.SU (AKTUM)","A.SU (AKTUM)","–",839
"𒀀𒋤","𒀀𒋤","A.SUD","A.SUD (BIR8)","A.SUD (BIR<sub>8</sub>)","839+584","579+373","U+12000 & U+122E4 (A & SUD)","A.SUD (BIR8)","A.SUD (BIR8)","–",839
"𒀀𒋙𒉀","𒀀𒋙𒉀","A.ŠEG₈","A.ŠEG8 (ŠEG4)","A.ŠEG<sub>8</sub> (ŠEG<sub>4</sub>)","839+873","579+551","U+12000 & U+122D9 & U+12240 (A & SHU2 & NAGA)","A.ŠEG8 (ŠEG4)","A.SHEG8 (SHEG4)","–",839
"𒀀𒋗𒉀","𒀀𒋗𒉀","A.ŠU.NAGA","A.ŠU.NAGA (TU17)","A.ŠU.NAGA (TU<sub>17</sub> <font color=""#878787"">(MesZL: Deimel differently)</font>)","839+567+293","579+354+165","U+12000 & U+122D7 & U+12240 (A & SHU & NAGA)","A.ŠU.NAGA (TU17 (MesZL: Deimel differently))","A.SHU.NAGA (TU17)","–",839
